               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044395,            0.063283,            0.016491,             0.63346,             0.48853,             0.52229,             0.32482,            0.045297,            0.050652,            0.018305,            0.070032,           0.0033297,           0.0033297
                   1,            0.046563,            0.064747,             0.01918,             0.59485,             0.43393,             0.46678,             0.27767,            0.047636,            0.052839,            0.021684,             0.04001,           0.0066411,           0.0066411
                   2,            0.050799,            0.070171,            0.025599,             0.51408,             0.34428,             0.35498,             0.19354,            0.053458,            0.056495,            0.028807,           0.0099665,           0.0099304,           0.0099304
                   3,            0.054351,            0.073003,            0.030767,             0.51927,              0.3534,             0.36708,             0.20571,            0.052457,            0.055767,            0.027805,            0.009901,            0.009901,            0.009901
                   4,            0.053937,            0.072636,            0.030113,             0.52111,             0.37952,             0.39212,             0.22225,            0.050753,            0.054535,            0.025076,            0.009901,            0.009901,            0.009901
                   5,            0.053545,            0.072415,            0.029618,             0.56426,              0.3887,             0.41376,             0.24239,            0.050026,            0.054358,            0.024535,            0.009868,            0.009868,            0.009868
                   6,            0.053322,            0.072275,            0.029308,             0.57419,             0.40847,             0.43667,             0.25826,            0.048989,            0.053529,            0.023096,            0.009835,            0.009835,            0.009835
                   7,            0.052969,            0.071979,            0.028899,              0.5843,             0.42803,              0.4547,             0.27402,            0.048178,            0.052793,            0.021899,            0.009802,            0.009802,            0.009802
                   8,            0.052912,            0.072033,            0.028852,             0.58454,             0.43087,             0.46094,             0.27894,            0.047731,            0.052622,            0.021589,            0.009769,            0.009769,            0.009769
                   9,            0.052789,            0.071713,             0.02856,             0.60106,             0.43714,             0.47411,              0.2896,            0.047343,            0.052271,            0.020815,            0.009736,            0.009736,            0.009736
                  10,            0.052665,            0.071859,            0.028541,             0.60609,             0.44442,             0.48012,             0.29486,            0.046832,            0.051887,            0.020251,            0.009703,            0.009703,            0.009703
                  11,            0.052622,            0.071564,            0.028274,             0.60574,             0.45541,             0.49008,             0.30427,            0.046581,            0.051587,            0.019938,             0.00967,             0.00967,             0.00967
                  12,            0.052485,             0.07125,            0.028195,             0.61334,             0.45578,             0.49301,             0.30605,            0.046344,            0.051483,            0.019838,            0.009637,            0.009637,            0.009637
                  13,            0.052438,            0.071599,            0.028248,             0.60586,             0.46546,             0.49783,             0.31063,            0.046157,            0.051371,            0.019468,            0.009604,            0.009604,            0.009604
