               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11294,            0.038677,            0.045639,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,              0.0892,              0.0012,              0.0012
                   1,            0.090372,            0.043036,             0.04178,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.077492,           0.0024918,           0.0024918
                   2,            0.071391,            0.038408,            0.038659,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.065775,           0.0037749,           0.0037749
                   3,             0.06463,             0.03858,            0.035533,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.05405,           0.0050495,           0.0050495
                   4,            0.061168,            0.035497,             0.03057,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.042316,           0.0063155,           0.0063155
                   5,            0.054445,            0.033634,            0.025936,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.030573,            0.007573,            0.007573
                   6,            0.058457,             0.03463,            0.025291,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.018822,           0.0088218,           0.0088218
                   7,            0.061596,            0.029897,            0.019323,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009769,            0.009769,            0.009769
                   8,            0.064589,            0.029219,            0.017072,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009769,            0.009769,            0.009769
                   9,            0.061078,            0.030454,            0.016743,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009736,            0.009736,            0.009736
                  10,            0.058189,              0.0273,            0.012308,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009703,            0.009703,            0.009703
                  11,            0.059352,            0.026509,            0.010385,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00967,             0.00967,             0.00967
                  12,            0.060302,            0.030042,           0.0099276,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009637,            0.009637,            0.009637
                  13,            0.056804,            0.027499,            0.010866,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009604,            0.009604,            0.009604
                  14,            0.049122,             0.03072,           0.0093234,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009571,            0.009571,            0.009571
                  15,            0.051298,            0.029872,           0.0099811,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009538,            0.009538,            0.009538
                  16,            0.049534,            0.027634,            0.012971,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009505,            0.009505,            0.009505
                  17,            0.046122,            0.026219,           0.0089341,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009472,            0.009472,            0.009472
                  18,            0.047591,            0.029423,           0.0083519,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009439,            0.009439,            0.009439
                  19,            0.044435,             0.02641,           0.0074231,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009406,            0.009406,            0.009406
                  20,            0.043627,            0.026893,            0.010692,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009373,            0.009373,            0.009373
                  21,            0.045437,            0.028568,           0.0099489,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00934,             0.00934,             0.00934
                  22,            0.046211,            0.028074,           0.0077279,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009307,            0.009307,            0.009307
                  23,             0.04576,            0.028412,           0.0095294,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009274,            0.009274,            0.009274
                  24,             0.04244,            0.027615,           0.0070501,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009241,            0.009241,            0.009241
                  25,            0.042662,            0.027096,           0.0074378,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009208,            0.009208,            0.009208
                  26,            0.043148,            0.026742,           0.0047407,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009175,            0.009175,            0.009175
                  27,            0.042094,            0.025972,           0.0057738,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009142,            0.009142,            0.009142
                  28,            0.040569,            0.025862,           0.0060644,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009109,            0.009109,            0.009109
                  29,            0.038196,            0.025153,           0.0057508,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009076,            0.009076,            0.009076
                  30,            0.042344,             0.02624,            0.006575,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009043,            0.009043,            0.009043
                  31,            0.041891,            0.026319,           0.0048422,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00901,             0.00901,             0.00901
                  32,            0.041479,            0.026231,           0.0051082,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008977,            0.008977,            0.008977
                  33,              0.0399,            0.025573,           0.0053931,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008944,            0.008944,            0.008944
                  34,             0.03827,            0.024482,           0.0055351,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008911,            0.008911,            0.008911
                  35,            0.038756,            0.023565,            0.004641,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008878,            0.008878,            0.008878
                  36,            0.040515,            0.027892,           0.0057513,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008845,            0.008845,            0.008845
                  37,            0.036353,            0.022968,           0.0062549,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008812,            0.008812,            0.008812
                  38,            0.036194,             0.02431,           0.0060104,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008779,            0.008779,            0.008779
                  39,            0.036625,            0.025465,           0.0071095,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008746,            0.008746,            0.008746
                  40,            0.035922,            0.023426,           0.0037152,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008713,            0.008713,            0.008713
                  41,            0.034942,            0.023941,           0.0053479,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00868,             0.00868,             0.00868
                  42,            0.035508,            0.024536,            0.006464,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008647,            0.008647,            0.008647
                  43,            0.033512,            0.026071,           0.0051193,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008614,            0.008614,            0.008614
                  44,              0.0339,            0.024006,           0.0050414,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008581,            0.008581,            0.008581
                  45,            0.036427,            0.023086,           0.0059052,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008548,            0.008548,            0.008548
                  46,            0.038554,            0.024101,           0.0070972,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008515,            0.008515,            0.008515
                  47,            0.034888,            0.024436,            0.005196,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008482,            0.008482,            0.008482
                  48,            0.035533,            0.023259,           0.0064399,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008449,            0.008449,            0.008449
                  49,            0.036837,            0.023743,           0.0043621,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008416,            0.008416,            0.008416
                  50,            0.035851,            0.025374,           0.0054421,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008383,            0.008383,            0.008383
                  51,             0.03491,            0.025248,           0.0069776,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00835,             0.00835,             0.00835
                  52,            0.031716,            0.024581,           0.0090963,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008317,            0.008317,            0.008317
                  53,            0.034901,            0.024915,           0.0086134,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008284,            0.008284,            0.008284
                  54,            0.034444,            0.024527,           0.0059007,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008251,            0.008251,            0.008251
                  55,            0.035686,            0.024925,           0.0090045,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008218,            0.008218,            0.008218
                  56,            0.034315,            0.024201,           0.0048143,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008185,            0.008185,            0.008185
                  57,            0.033665,            0.022722,           0.0043061,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008152,            0.008152,            0.008152
                  58,            0.034238,            0.023843,           0.0068687,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008119,            0.008119,            0.008119
                  59,            0.030095,             0.02441,           0.0077297,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008086,            0.008086,            0.008086
                  60,            0.033019,            0.022086,           0.0050995,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.008053,            0.008053,            0.008053
                  61,            0.032393,            0.023463,           0.0051052,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00802,             0.00802,             0.00802
                  62,            0.034217,            0.024448,           0.0055735,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007987,            0.007987,            0.007987
                  63,            0.036141,            0.023802,           0.0044694,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007954,            0.007954,            0.007954
                  64,            0.034356,            0.023132,           0.0059103,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007921,            0.007921,            0.007921
                  65,            0.034924,            0.023261,           0.0047279,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007888,            0.007888,            0.007888
                  66,            0.031589,            0.024189,           0.0038539,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007855,            0.007855,            0.007855
                  67,            0.030648,            0.022672,            0.004942,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007822,            0.007822,            0.007822
                  68,            0.032415,            0.022834,           0.0042806,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007789,            0.007789,            0.007789
                  69,            0.029704,            0.020549,           0.0043024,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007756,            0.007756,            0.007756
                  70,            0.032422,            0.022767,           0.0040426,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007723,            0.007723,            0.007723
                  71,            0.031063,            0.022856,           0.0051665,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00769,             0.00769,             0.00769
                  72,            0.033029,            0.023241,           0.0067368,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007657,            0.007657,            0.007657
                  73,            0.036212,            0.021243,           0.0081273,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007624,            0.007624,            0.007624
                  74,            0.032645,             0.02229,            0.003868,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007591,            0.007591,            0.007591
                  75,            0.033704,            0.022926,           0.0035084,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007558,            0.007558,            0.007558
                  76,            0.031797,            0.021557,           0.0036281,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007525,            0.007525,            0.007525
                  77,            0.030715,            0.022499,           0.0030809,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007492,            0.007492,            0.007492
                  78,            0.030818,            0.023295,           0.0050785,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007459,            0.007459,            0.007459
                  79,            0.029919,            0.021027,           0.0064295,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007426,            0.007426,            0.007426
                  80,            0.034104,            0.022309,           0.0060955,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007393,            0.007393,            0.007393
                  81,            0.030351,            0.021385,           0.0029418,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00736,             0.00736,             0.00736
                  82,            0.030716,            0.019599,           0.0038495,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007327,            0.007327,            0.007327
                  83,            0.030757,            0.021166,            0.003968,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007294,            0.007294,            0.007294
